Ano;Mes;Dia;Hora;Min;Carga
2014;1;1;1;0;31681,2
2014;1;1;2;0;31475,9
2014;1;1;3;0;30848,3
2014;1;1;4;0;29885,6
2014;1;1;5;0;29157,3
2014;1;1;6;0;28705,5
2014;1;1;7;0;27192,9
2014;1;1;8;0;26247
2014;1;1;9;0;26926,5
2014;1;1;10;0;28046,9
2014;1;1;11;0;29149,4
2014;1;1;12;0;29758,6
2014;1;1;13;0;29635,2
2014;1;1;14;0;28889,7
2014;1;1;15;0;28677
2014;1;1;16;0;28850,1
2014;1;1;17;0;29177
2014;1;1;18;0;29646,6
2014;1;1;19;0;30655,6
2014;1;1;20;0;32799,1
2014;1;1;21;0;37016,8
2014;1;1;22;0;37532,8
2014;1;1;23;0;36984,2
2014;1;2;0;0;35182,8
2014;1;2;1;0;33082,4
2014;1;2;2;0;31340,2
2014;1;2;3;0;30084,4
2014;1;2;4;0;29450,3
2014;1;2;5;0;29294,8
2014;1;2;6;0;29847,7
2014;1;2;7;0;30586,8
2014;1;2;8;0;32361,1
2014;1;2;9;0;35484,1
2014;1;2;10;0;37888,9
2014;1;2;11;0;39429,4
2014;1;2;12;0;40180,1
2014;1;2;13;0;40575,7
2014;1;2;14;0;41656,9
2014;1;2;15;0;42152,3
2014;1;2;16;0;42188
2014;1;2;17;0;42133,2
2014;1;2;18;0;40622,9
2014;1;2;19;0;38392,8
2014;1;2;20;0;38326,5
2014;1;2;21;0;42475,2
2014;1;2;22;0;43430,6
2014;1;2;23;0;42751,7
2014;1;3;0;0;41105,5
2014;1;3;1;0;38266
2014;1;3;2;0;35944,2
2014;1;3;3;0;34442,3
2014;1;3;4;0;33793,9
2014;1;3;5;0;33613,6
2014;1;3;6;0;33932,2
2014;1;3;7;0;34083,7
2014;1;3;8;0;35887,8
2014;1;3;9;0;38875,7
2014;1;3;10;0;41234,5
2014;1;3;11;0;42580
2014;1;3;12;0;42769,9
2014;1;3;13;0;42741,6
2014;1;3;14;0;43677,3
2014;1;3;15;0;44149,3
2014;1;3;16;0;44250,8
2014;1;3;17;0;43453,8
2014;1;3;18;0;41875,8
2014;1;3;19;0;39292,3
2014;1;3;20;0;38711
2014;1;3;21;0;42649,1
2014;1;3;22;0;43842,6
2014;1;3;23;0;43229,2
2014;1;4;0;0;41719,7
2014;1;4;1;0;39180,4
2014;1;4;2;0;37097,2
2014;1;4;3;0;35404
2014;1;4;4;0;34591
2014;1;4;5;0;34097,4
2014;1;4;6;0;34043,4
2014;1;4;7;0;33319,2
2014;1;4;8;0;33780,1
2014;1;4;9;0;35808,6
2014;1;4;10;0;37604,4
2014;1;4;11;0;38471,4
2014;1;4;12;0;38429
2014;1;4;13;0;38195,4
2014;1;4;14;0;37891,4
2014;1;4;15;0;37687,3
2014;1;4;16;0;37500,7
2014;1;4;17;0;37458,3
2014;1;4;18;0;37289,7
2014;1;4;19;0;37264,8
2014;1;4;20;0;37830,9
2014;1;4;21;0;41734,3
2014;1;4;22;0;41672
2014;1;4;23;0;40415
2014;1;5;0;0;38697,6
2014;1;5;1;0;36457,8
2014;1;5;2;0;34553,4
2014;1;5;3;0;33216,2
2014;1;5;4;0;32125,4
2014;1;5;5;0;31518
2014;1;5;6;0;31272,8
2014;1;5;7;0;30291,2
2014;1;5;8;0;29646,1
2014;1;5;9;0;30437,1
2014;1;5;10;0;31494,8
2014;1;5;11;0;32428,7
2014;1;5;12;0;33068,4
2014;1;5;13;0;33234,1
2014;1;5;14;0;33294,5
2014;1;5;15;0;33357,1
2014;1;5;16;0;33800,3
2014;1;5;17;0;34051,3
2014;1;5;18;0;34650,7
2014;1;5;19;0;35287,5
2014;1;5;20;0;35926,7
2014;1;5;21;0;39692,6
2014;1;5;22;0;40610,5
2014;1;5;23;0;40159,6
2014;1;6;0;0;38577
2014;1;6;1;0;36267,4
2014;1;6;2;0;33989,8
2014;1;6;3;0;32651,7
2014;1;6;4;0;32026,3
2014;1;6;5;0;31928,8
2014;1;6;6;0;32850,1
2014;1;6;7;0;33952,3
2014;1;6;8;0;36266,3
2014;1;6;9;0;40043,3
2014;1;6;10;0;42607,7
2014;1;6;11;0;44041,8
2014;1;6;12;0;44139,4
2014;1;6;13;0;44068,8
2014;1;6;14;0;45447,4
2014;1;6;15;0;45945,6
2014;1;6;16;0;46258,8
2014;1;6;17;0;45877,1
2014;1;6;18;0;43503,2
2014;1;6;19;0;40254,8
2014;1;6;20;0;39703,2
2014;1;6;21;0;44067,4
2014;1;6;22;0;45049
2014;1;6;23;0;44219,9
2014;1;7;0;0;42281,8
2014;1;7;1;0;38631,3
2014;1;7;2;0;36184,9
2014;1;7;3;0;34830,1
2014;1;7;4;0;34036,7
2014;1;7;5;0;33861,3
2014;1;7;6;0;34524,8
2014;1;7;7;0;35305,1
2014;1;7;8;0;37556
2014;1;7;9;0;41019,3
2014;1;7;10;0;43367,1
2014;1;7;11;0;44577,9
2014;1;7;12;0;44393,3
2014;1;7;13;0;44406,9
2014;1;7;14;0;45752,4
2014;1;7;15;0;46391,5
2014;1;7;16;0;46450,9
2014;1;7;17;0;45913,8
2014;1;7;18;0;43607,5
2014;1;7;19;0;40374,5
2014;1;7;20;0;39661,1
2014;1;7;21;0;43877
2014;1;7;22;0;45114,6
2014;1;7;23;0;44729,1
2014;1;8;0;0;42556,3
2014;1;8;1;0;39047,8
2014;1;8;2;0;36689,8
2014;1;8;3;0;35294,6
2014;1;8;4;0;34532,2
2014;1;8;5;0;34435,7
2014;1;8;6;0;35037,7
2014;1;8;7;0;35972,7
2014;1;8;8;0;38280,4
2014;1;8;9;0;41958,4
2014;1;8;10;0;44210,8
2014;1;8;11;0;45595,3
2014;1;8;12;0;45664,5
2014;1;8;13;0;45369,4
2014;1;8;14;0;46850,6
2014;1;8;15;0;47707,3
2014;1;8;16;0;47954,3
2014;1;8;17;0;47527
2014;1;8;18;0;45079,5
2014;1;8;19;0;41637,8
2014;1;8;20;0;40666,5
2014;1;8;21;0;44746,4
2014;1;8;22;0;45919,9
2014;1;8;23;0;45512,8
2014;1;9;0;0;43624,9
2014;1;9;1;0;40331
2014;1;9;2;0;37838,9
2014;1;9;3;0;36449,6
2014;1;9;4;0;35493,4
2014;1;9;5;0;35320,3
2014;1;9;6;0;35930,6
2014;1;9;7;0;36686,2
2014;1;9;8;0;38906
2014;1;9;9;0;42475,8
2014;1;9;10;0;44817,7
2014;1;9;11;0;46262,4
2014;1;9;12;0;45980,4
2014;1;9;13;0;45860,7
2014;1;9;14;0;47062,4
2014;1;9;15;0;47759,6
2014;1;9;16;0;48118,8
2014;1;9;17;0;47531,6
2014;1;9;18;0;44840,6
2014;1;9;19;0;41526,8
2014;1;9;20;0;40666,9
2014;1;9;21;0;44564,8
2014;1;9;22;0;45731,4
2014;1;9;23;0;45372,8
2014;1;10;0;0;43869,1
2014;1;10;1;0;40356,7
2014;1;10;2;0;37962,5
2014;1;10;3;0;36599,6
2014;1;10;4;0;35700,9
2014;1;10;5;0;35573,2
2014;1;10;6;0;36216,4
2014;1;10;7;0;37129,6
2014;1;10;8;0;39471,4
2014;1;10;9;0;42986,3
2014;1;10;10;0;45355,1
2014;1;10;11;0;46834,4
2014;1;10;12;0;46568,4
2014;1;10;13;0;46277,2
2014;1;10;14;0;47445,8
2014;1;10;15;0;48115,8
2014;1;10;16;0;47986,8
2014;1;10;17;0;46694,2
2014;1;10;18;0;44637
2014;1;10;19;0;41548,6
2014;1;10;20;0;40876,3
2014;1;10;21;0;44231,6
