Temperatura;Kernel;Modelo;Passo;Coeficientes
NA;NA;(Intercept);1;0
1;1;Linear.TmpMaxima;1;0,0833333333333333
3;1;Linear.TmpMaxMin;1;0,0833333333333333
2;1;Linear.TmpMedia;1;0,0833333333333333
0;1;Linear.Univariado;1;0,0833333333333333
1;0;Radial.TmpMaxima;1;0,0833333333333333
3;0;Radial.TmpMaxMin;1;0,0833333333333333
2;0;Radial.TmpMedia;1;0,0833333333333333
0;0;Radial.Univariado;1;0,0833333333333333
1;2;RedeNeural.TmpMaxima;1;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;1;0,0833333333333333
2;2;RedeNeural.TmpMedia;1;0,0833333333333333
0;2;RedeNeural.Univariado;1;0,0833333333333333
NA;NA;(Intercept);2;0
1;1;Linear.TmpMaxima;2;0,0833333333333333
3;1;Linear.TmpMaxMin;2;0,0833333333333333
2;1;Linear.TmpMedia;2;0,0833333333333333
0;1;Linear.Univariado;2;0,0833333333333333
1;0;Radial.TmpMaxima;2;0,0833333333333333
3;0;Radial.TmpMaxMin;2;0,0833333333333333
2;0;Radial.TmpMedia;2;0,0833333333333333
0;0;Radial.Univariado;2;0,0833333333333333
1;2;RedeNeural.TmpMaxima;2;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;2;0,0833333333333333
2;2;RedeNeural.TmpMedia;2;0,0833333333333333
0;2;RedeNeural.Univariado;2;0,0833333333333333
NA;NA;(Intercept);3;0
1;1;Linear.TmpMaxima;3;0,0833333333333333
3;1;Linear.TmpMaxMin;3;0,0833333333333333
2;1;Linear.TmpMedia;3;0,0833333333333333
0;1;Linear.Univariado;3;0,0833333333333333
1;0;Radial.TmpMaxima;3;0,0833333333333333
3;0;Radial.TmpMaxMin;3;0,0833333333333333
2;0;Radial.TmpMedia;3;0,0833333333333333
0;0;Radial.Univariado;3;0,0833333333333333
1;2;RedeNeural.TmpMaxima;3;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;3;0,0833333333333333
2;2;RedeNeural.TmpMedia;3;0,0833333333333333
0;2;RedeNeural.Univariado;3;0,0833333333333333
NA;NA;(Intercept);4;0
1;1;Linear.TmpMaxima;4;0,0833333333333333
3;1;Linear.TmpMaxMin;4;0,0833333333333333
2;1;Linear.TmpMedia;4;0,0833333333333333
0;1;Linear.Univariado;4;0,0833333333333333
1;0;Radial.TmpMaxima;4;0,0833333333333333
3;0;Radial.TmpMaxMin;4;0,0833333333333333
2;0;Radial.TmpMedia;4;0,0833333333333333
0;0;Radial.Univariado;4;0,0833333333333333
1;2;RedeNeural.TmpMaxima;4;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;4;0,0833333333333333
2;2;RedeNeural.TmpMedia;4;0,0833333333333333
0;2;RedeNeural.Univariado;4;0,0833333333333333
NA;NA;(Intercept);5;0
1;1;Linear.TmpMaxima;5;0,0833333333333333
3;1;Linear.TmpMaxMin;5;0,0833333333333333
2;1;Linear.TmpMedia;5;0,0833333333333333
0;1;Linear.Univariado;5;0,0833333333333333
1;0;Radial.TmpMaxima;5;0,0833333333333333
3;0;Radial.TmpMaxMin;5;0,0833333333333333
2;0;Radial.TmpMedia;5;0,0833333333333333
0;0;Radial.Univariado;5;0,0833333333333333
1;2;RedeNeural.TmpMaxima;5;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;5;0,0833333333333333
2;2;RedeNeural.TmpMedia;5;0,0833333333333333
0;2;RedeNeural.Univariado;5;0,0833333333333333
NA;NA;(Intercept);6;0
1;1;Linear.TmpMaxima;6;0,0833333333333333
3;1;Linear.TmpMaxMin;6;0,0833333333333333
2;1;Linear.TmpMedia;6;0,0833333333333333
0;1;Linear.Univariado;6;0,0833333333333333
1;0;Radial.TmpMaxima;6;0,0833333333333333
3;0;Radial.TmpMaxMin;6;0,0833333333333333
2;0;Radial.TmpMedia;6;0,0833333333333333
0;0;Radial.Univariado;6;0,0833333333333333
1;2;RedeNeural.TmpMaxima;6;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;6;0,0833333333333333
2;2;RedeNeural.TmpMedia;6;0,0833333333333333
0;2;RedeNeural.Univariado;6;0,0833333333333333
NA;NA;(Intercept);7;0
1;1;Linear.TmpMaxima;7;0,0833333333333333
3;1;Linear.TmpMaxMin;7;0,0833333333333333
2;1;Linear.TmpMedia;7;0,0833333333333333
0;1;Linear.Univariado;7;0,0833333333333333
1;0;Radial.TmpMaxima;7;0,0833333333333333
3;0;Radial.TmpMaxMin;7;0,0833333333333333
2;0;Radial.TmpMedia;7;0,0833333333333333
0;0;Radial.Univariado;7;0,0833333333333333
1;2;RedeNeural.TmpMaxima;7;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;7;0,0833333333333333
2;2;RedeNeural.TmpMedia;7;0,0833333333333333
0;2;RedeNeural.Univariado;7;0,0833333333333333
NA;NA;(Intercept);8;0
1;1;Linear.TmpMaxima;8;0,0833333333333333
3;1;Linear.TmpMaxMin;8;0,0833333333333333
2;1;Linear.TmpMedia;8;0,0833333333333333
0;1;Linear.Univariado;8;0,0833333333333333
1;0;Radial.TmpMaxima;8;0,0833333333333333
3;0;Radial.TmpMaxMin;8;0,0833333333333333
2;0;Radial.TmpMedia;8;0,0833333333333333
0;0;Radial.Univariado;8;0,0833333333333333
1;2;RedeNeural.TmpMaxima;8;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;8;0,0833333333333333
2;2;RedeNeural.TmpMedia;8;0,0833333333333333
0;2;RedeNeural.Univariado;8;0,0833333333333333
NA;NA;(Intercept);9;0
1;1;Linear.TmpMaxima;9;0,0833333333333333
3;1;Linear.TmpMaxMin;9;0,0833333333333333
2;1;Linear.TmpMedia;9;0,0833333333333333
0;1;Linear.Univariado;9;0,0833333333333333
1;0;Radial.TmpMaxima;9;0,0833333333333333
3;0;Radial.TmpMaxMin;9;0,0833333333333333
2;0;Radial.TmpMedia;9;0,0833333333333333
0;0;Radial.Univariado;9;0,0833333333333333
1;2;RedeNeural.TmpMaxima;9;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;9;0,0833333333333333
2;2;RedeNeural.TmpMedia;9;0,0833333333333333
0;2;RedeNeural.Univariado;9;0,0833333333333333
NA;NA;(Intercept);10;0
1;1;Linear.TmpMaxima;10;0,0833333333333333
3;1;Linear.TmpMaxMin;10;0,0833333333333333
2;1;Linear.TmpMedia;10;0,0833333333333333
0;1;Linear.Univariado;10;0,0833333333333333
1;0;Radial.TmpMaxima;10;0,0833333333333333
3;0;Radial.TmpMaxMin;10;0,0833333333333333
2;0;Radial.TmpMedia;10;0,0833333333333333
0;0;Radial.Univariado;10;0,0833333333333333
1;2;RedeNeural.TmpMaxima;10;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;10;0,0833333333333333
2;2;RedeNeural.TmpMedia;10;0,0833333333333333
0;2;RedeNeural.Univariado;10;0,0833333333333333
NA;NA;(Intercept);11;0
1;1;Linear.TmpMaxima;11;0,0833333333333333
3;1;Linear.TmpMaxMin;11;0,0833333333333333
2;1;Linear.TmpMedia;11;0,0833333333333333
0;1;Linear.Univariado;11;0,0833333333333333
1;0;Radial.TmpMaxima;11;0,0833333333333333
3;0;Radial.TmpMaxMin;11;0,0833333333333333
2;0;Radial.TmpMedia;11;0,0833333333333333
0;0;Radial.Univariado;11;0,0833333333333333
1;2;RedeNeural.TmpMaxima;11;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;11;0,0833333333333333
2;2;RedeNeural.TmpMedia;11;0,0833333333333333
0;2;RedeNeural.Univariado;11;0,0833333333333333
NA;NA;(Intercept);12;0
1;1;Linear.TmpMaxima;12;0,0833333333333333
3;1;Linear.TmpMaxMin;12;0,0833333333333333
2;1;Linear.TmpMedia;12;0,0833333333333333
0;1;Linear.Univariado;12;0,0833333333333333
1;0;Radial.TmpMaxima;12;0,0833333333333333
3;0;Radial.TmpMaxMin;12;0,0833333333333333
2;0;Radial.TmpMedia;12;0,0833333333333333
0;0;Radial.Univariado;12;0,0833333333333333
1;2;RedeNeural.TmpMaxima;12;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;12;0,0833333333333333
2;2;RedeNeural.TmpMedia;12;0,0833333333333333
0;2;RedeNeural.Univariado;12;0,0833333333333333
NA;NA;(Intercept);13;0
1;1;Linear.TmpMaxima;13;0,0833333333333333
3;1;Linear.TmpMaxMin;13;0,0833333333333333
2;1;Linear.TmpMedia;13;0,0833333333333333
0;1;Linear.Univariado;13;0,0833333333333333
1;0;Radial.TmpMaxima;13;0,0833333333333333
3;0;Radial.TmpMaxMin;13;0,0833333333333333
2;0;Radial.TmpMedia;13;0,0833333333333333
0;0;Radial.Univariado;13;0,0833333333333333
1;2;RedeNeural.TmpMaxima;13;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;13;0,0833333333333333
2;2;RedeNeural.TmpMedia;13;0,0833333333333333
0;2;RedeNeural.Univariado;13;0,0833333333333333
NA;NA;(Intercept);14;0
1;1;Linear.TmpMaxima;14;0,0833333333333333
3;1;Linear.TmpMaxMin;14;0,0833333333333333
2;1;Linear.TmpMedia;14;0,0833333333333333
0;1;Linear.Univariado;14;0,0833333333333333
1;0;Radial.TmpMaxima;14;0,0833333333333333
3;0;Radial.TmpMaxMin;14;0,0833333333333333
2;0;Radial.TmpMedia;14;0,0833333333333333
0;0;Radial.Univariado;14;0,0833333333333333
1;2;RedeNeural.TmpMaxima;14;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;14;0,0833333333333333
2;2;RedeNeural.TmpMedia;14;0,0833333333333333
0;2;RedeNeural.Univariado;14;0,0833333333333333
NA;NA;(Intercept);15;0
1;1;Linear.TmpMaxima;15;0,0833333333333333
3;1;Linear.TmpMaxMin;15;0,0833333333333333
2;1;Linear.TmpMedia;15;0,0833333333333333
0;1;Linear.Univariado;15;0,0833333333333333
1;0;Radial.TmpMaxima;15;0,0833333333333333
3;0;Radial.TmpMaxMin;15;0,0833333333333333
2;0;Radial.TmpMedia;15;0,0833333333333333
0;0;Radial.Univariado;15;0,0833333333333333
1;2;RedeNeural.TmpMaxima;15;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;15;0,0833333333333333
2;2;RedeNeural.TmpMedia;15;0,0833333333333333
0;2;RedeNeural.Univariado;15;0,0833333333333333
NA;NA;(Intercept);16;0
1;1;Linear.TmpMaxima;16;0,0833333333333333
3;1;Linear.TmpMaxMin;16;0,0833333333333333
2;1;Linear.TmpMedia;16;0,0833333333333333
0;1;Linear.Univariado;16;0,0833333333333333
1;0;Radial.TmpMaxima;16;0,0833333333333333
3;0;Radial.TmpMaxMin;16;0,0833333333333333
2;0;Radial.TmpMedia;16;0,0833333333333333
0;0;Radial.Univariado;16;0,0833333333333333
1;2;RedeNeural.TmpMaxima;16;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;16;0,0833333333333333
2;2;RedeNeural.TmpMedia;16;0,0833333333333333
0;2;RedeNeural.Univariado;16;0,0833333333333333
NA;NA;(Intercept);17;0
1;1;Linear.TmpMaxima;17;0,0833333333333333
3;1;Linear.TmpMaxMin;17;0,0833333333333333
2;1;Linear.TmpMedia;17;0,0833333333333333
0;1;Linear.Univariado;17;0,0833333333333333
1;0;Radial.TmpMaxima;17;0,0833333333333333
3;0;Radial.TmpMaxMin;17;0,0833333333333333
2;0;Radial.TmpMedia;17;0,0833333333333333
0;0;Radial.Univariado;17;0,0833333333333333
1;2;RedeNeural.TmpMaxima;17;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;17;0,0833333333333333
2;2;RedeNeural.TmpMedia;17;0,0833333333333333
0;2;RedeNeural.Univariado;17;0,0833333333333333
NA;NA;(Intercept);18;0
1;1;Linear.TmpMaxima;18;0,0833333333333333
3;1;Linear.TmpMaxMin;18;0,0833333333333333
2;1;Linear.TmpMedia;18;0,0833333333333333
0;1;Linear.Univariado;18;0,0833333333333333
1;0;Radial.TmpMaxima;18;0,0833333333333333
