Hora;dia.util.inverno;fds.inverno;dia.util.intermediario;fds.intermediario;dia.util.verao;fds.verao
00:00;3;3;3;3;3;3
01:00;3;3;3;3;3;3
02:00;3;3;3;3;3;3
03:00;3;3;3;3;3;3
04:00;3;3;3;3;3;3
05:00;3;3;3;3;3;3
06:00;3;3;3;3;3;3
07:00;2;3;3;3;3;3
08:00;2;3;2;3;2;3
09:00;2;3;2;3;2;3
10:00;1;3;1;3;1;3
11:00;1;3;1;3;1;3
12:00;1;3;1;3;1;3
13:00;1;3;1;3;1;3
14:00;1;3;1;3;1;3
15:00;1;3;1;3;1;3
16:00;1;3;1;3;1;3
17:00;1;3;1;3;1;3
18:00;1;2;1;2;2;3
19:00;1;2;1;2;2;3
20:00;1;2;2;2;2;2
21:00;1;2;2;2;2;2
22:00;2;3;2;3;2;2
23:00;2;3;2;3;2;3
