Ano;Mes;Dia;Hora;Min;Temperatura
2014;1;1;0;0;24,858
2014;1;1;1;0;24,648
2014;1;1;2;0;24,53
2014;1;1;3;0;23,857
2014;1;1;4;0;23,857
2014;1;1;5;0;23,759
2014;1;1;6;0;23,449
2014;1;1;7;0;24,016
2014;1;1;8;0;25,59
2014;1;1;9;0;27,377
2014;1;1;10;0;29,092
2014;1;1;11;0;30,224
2014;1;1;12;0;32,008
2014;1;1;13;0;32,865
2014;1;1;14;0;32,681
2014;1;1;15;0;32,628
2014;1;1;16;0;31,315
2014;1;1;17;0;29,895
2014;1;1;18;0;29,169
2014;1;1;19;0;27,543
2014;1;1;20;0;26,562
2014;1;1;21;0;25,655
2014;1;1;22;0;25,655
2014;1;1;23;0;23,057
2014;1;2;0;0;25,339
2014;1;2;1;0;25,121
2014;1;2;2;0;24,349
2014;1;2;3;0;23,854
2014;1;2;4;0;23,294
2014;1;2;5;0;23,196
2014;1;2;6;0;23,196
2014;1;2;7;0;23,538
2014;1;2;8;0;24,573
2014;1;2;9;0;26,377
2014;1;2;10;0;28,017
2014;1;2;11;0;30,103
2014;1;2;12;0;30,993
2014;1;2;13;0;32,338
2014;1;2;14;0;31,999
2014;1;2;15;0;32,915
2014;1;2;16;0;32,669
2014;1;2;17;0;31,224
2014;1;2;18;0;30,24
2014;1;2;19;0;29,55
2014;1;2;20;0;27,977
2014;1;2;21;0;27,107
2014;1;2;22;0;26,471
2014;1;2;23;0;26,175
2014;1;3;0;0;25,174
2014;1;3;1;0;25,202
2014;1;3;2;0;24,748
2014;1;3;3;0;24,419
2014;1;3;4;0;24,105
2014;1;3;5;0;23,418
2014;1;3;6;0;23,412
2014;1;3;7;0;24,019
2014;1;3;8;0;25,711
2014;1;3;9;0;27,81
2014;1;3;10;0;29,778
2014;1;3;11;0;31,656
2014;1;3;12;0;32,157
2014;1;3;13;0;32,496
2014;1;3;14;0;33,197
2014;1;3;15;0;33,626
2014;1;3;16;0;30,602
2014;1;3;17;0;32,937
2014;1;3;18;0;32,385
2014;1;3;19;0;31,05
2014;1;3;20;0;29,32
2014;1;3;21;0;28,348
2014;1;3;22;0;27,585
2014;1;3;23;0;26,744
2014;1;4;0;0;26,402
2014;1;4;1;0;25,417
2014;1;4;2;0;25,417
2014;1;4;3;0;24,773
2014;1;4;4;0;24,695
2014;1;4;5;0;24,333
2014;1;4;6;0;23,907
2014;1;4;7;0;24,703
2014;1;4;8;0;26,144
2014;1;4;9;0;28,002
2014;1;4;10;0;29,896
2014;1;4;11;0;30,884
2014;1;4;12;0;32,549
2014;1;4;13;0;33,073
2014;1;4;14;0;34,04
2014;1;4;15;0;33,894
2014;1;4;16;0;33,994
2014;1;4;17;0;33,219
2014;1;4;18;0;32,517
2014;1;4;19;0;30,58
2014;1;4;20;0;28,355
2014;1;4;21;0;27,485
2014;1;4;22;0;27,059
2014;1;4;23;0;26,11
2014;1;5;0;0;25,217
2014;1;5;1;0;25,105
2014;1;5;2;0;24,314
2014;1;5;3;0;23,888
2014;1;5;4;0;23,916
2014;1;5;5;0;23,798
2014;1;5;6;0;23,128
2014;1;5;7;0;23,272
2014;1;5;8;0;24,601
2014;1;5;9;0;26,39
2014;1;5;10;0;27,719
2014;1;5;11;0;29,818
