Ano;Mes;Dia;Hora;Min;Temperatura
2021;1;27;0;0;22,6605
2021;1;27;1;0;22,4601
2021;1;27;2;0;22,363
2021;1;27;3;0;22,2121
2021;1;27;4;0;22,0527
2021;1;27;5;0;21,9033
2021;1;27;6;0;22,0774
2021;1;27;7;0;23,227
2021;1;27;8;0;24,7848
2021;1;27;9;0;26,2838
2021;1;27;10;0;27,9172
2021;1;27;11;0;29,15
2021;1;27;12;0;29,8679
2021;1;27;13;0;30,1657
2021;1;27;14;0;30,3576
2021;1;27;15;0;29,8957
2021;1;27;16;0;29,8308
2021;1;27;17;0;29,5835
2021;1;27;18;0;28,762
2021;1;27;19;0;27,5863
2021;1;27;20;0;26,7029
2021;1;27;21;0;25,9955
2021;1;27;22;0;25,2975
2021;1;27;23;0;24,7513
2021;1;28;0;0;24,3771
2021;1;28;1;0;24,0925
2021;1;28;2;0;24,1052
2021;1;28;3;0;23,5106
2021;1;28;4;0;23,1258
2021;1;28;5;0;22,8163
2021;1;28;6;0;22,8089
2021;1;28;7;0;23,7235
2021;1;28;8;0;25,001
2021;1;28;9;0;26,4037
2021;1;28;10;0;27,725
2021;1;28;11;0;28,7829
2021;1;28;12;0;29,5559
2021;1;28;13;0;29,8464
2021;1;28;14;0;30,2605
2021;1;28;15;0;30,479
2021;1;28;16;0;30,3398
2021;1;28;17;0;29,6441
2021;1;28;18;0;29,0137
2021;1;28;19;0;28,1084
2021;1;28;20;0;27,4678
2021;1;28;21;0;26,7244
2021;1;28;22;0;25,611
2021;1;28;23;0;24,8918
2021;1;29;0;0;24,5428
2021;1;29;1;0;24,3118
2021;1;29;2;0;23,9084
2021;1;29;3;0;23,4978
2021;1;29;4;0;23,4406
2021;1;29;5;0;23,284
2021;1;29;6;0;23,2213
2021;1;29;7;0;24,074
2021;1;29;8;0;25,8111
2021;1;29;9;0;27,3499
2021;1;29;10;0;28,5967
2021;1;29;11;0;29,6867
2021;1;29;12;0;30,2977
2021;1;29;13;0;30,4969
2021;1;29;14;0;30,5197
2021;1;29;15;0;30,6118
2021;1;29;16;0;30,0961
2021;1;29;17;0;29,5233
2021;1;29;18;0;28,9085
2021;1;29;19;0;28,0782
2021;1;29;20;0;27,3364
2021;1;29;21;0;24,728
2021;1;29;22;0;24,4476
2021;1;29;23;0;24,0803
2021;1;30;0;0;23,7389
2021;1;30;1;0;23,389
2021;1;30;2;0;23,1432
2021;1;30;3;0;23,1204
2021;1;30;4;0;23,082
2021;1;30;5;0;22,8744
2021;1;30;6;0;22,8179
2021;1;30;7;0;23,6712
2021;1;30;8;0;25,1249
2021;1;30;9;0;26,7155
2021;1;30;10;0;28,2633
2021;1;30;11;0;29,3124
2021;1;30;12;0;30,0059
2021;1;30;13;0;30,2199
2021;1;30;14;0;30,3256
2021;1;30;15;0;30,0777
2021;1;30;16;0;29,6605
2021;1;30;17;0;29,0016
2021;1;30;18;0;27,7261
2021;1;30;19;0;26,144
2021;1;30;20;0;25,3669
2021;1;30;21;0;24,905
2021;1;30;22;0;24,5513
2021;1;30;23;0;24,1918
2021;1;31;0;0;23,9082
